timestamp,total_tokens,prompt_tokens,completion_tokens,total_cost(USD)
20230620_083343,2123,1495,628,0.0
20230620_083415,4096,2792,1304,0.0
20230620_083418,2021,1910,111,0.0
20230620_083420,4097,4031,66,0.0
20230620_083422,569,499,70,0.0
20230620_083423,962,960,2,0.0
20230620_083438,2119,1319,800,0.0
20230620_083442,884,747,137,0.0
20230620_083443,663,604,59,0.0
20230620_083444,632,596,36,0.0
20230620_083446,680,633,47,0.0
